Orthogroup	afla	afum	anid	anig
OG0000253	F9C07_2074042, F9C07_2159751, F9C07_250, F9C07_4268	Afu2g14350, Afu3g03230	AN10295, AN7219	An01g00940, An02g00870, An08g03810
OG0000254	F9C07_2068167, F9C07_2197654, F9C07_9306	Afu2g14320, Afu3g13130, Afu4g00730, Afu8g01530	AN5325, AN8638	An01g01230, An12g10710
OG0000255	F9C07_236, F9C07_2488, F9C07_6162, F9C07_9102	Afu5g13090, Afu6g04450	AN6571, AN6857	An04g06730, An14g06060, An15g00920
OG0000256	F9C07_1803, F9C07_4477, F9C07_565, F9C07_6592	Afu4g00610	AN8329, AN9011	An02g00400, An08g08250, An12g04530, An12g10020
OG0000257	F9C07_11308, F9C07_12107, F9C07_2236292, F9C07_2281442	Afu3g05660	AN10410, AN8934	An04g08320, An11g10970, An12g01250, An12g02370
OG0000258	F9C07_11416, F9C07_1473703, F9C07_1774, F9C07_8508	Afu5g14500, Afu6g00130	AN0614, AN1681, AN2729	An11g03900, An13g03310
OG0000259	F9C07_11419, F9C07_1397175	Afu3g09190, Afu4g08230	AN1679, AN4829	An01g14370, An01g14880, An04g02670, An05g02070, An16g01720
OG0000260	F9C07_1366278, F9C07_2281462, F9C07_2977, F9C07_9719	Afu1g17725, Afu2g04290, Afu3g14760	AN1884	An01g06910, An11g02990, An15g05070
OG0000261	F9C07_1373286, F9C07_2230354, F9C07_2285517	Afu3g12200, Afu5g13850, Afu6g10050, Afu6g10220	AN7188	An11g01040, An11g05350, An14g05290
OG0000262	F9C07_11707, F9C07_2201555, F9C07_2282612	Afu2g13630	AN4156, AN5041, AN6338, AN8516	An02g00030, An02g05540, An15g02460
OG0000263	F9C07_5043, F9C07_9763	Afu4g06860	AN0527, AN11584, AN12330, AN4396, AN7883, AN7894	An04g01270, An11g03830
OG0000264	F9C07_2099045, F9C07_2125830, F9C07_7253, F9C07_9269		AN2041	An03g01890, An07g04410, An11g04970, An11g06520, An16g01460, An16g06600
OG0000265	F9C07_2285024, F9C07_7400, F9C07_9996	Afu3g03980, Afu5g10050	AN10479, AN8919, AN9218	An01g00240, An01g09760, An08g09470
OG0000266	F9C07_1895, F9C07_2074187, F9C07_2276933, F9C07_2286431, F9C07_6720	Afu5g02040, Afu7g04950	AN10605, AN8046	An09g02180, An16g01880
OG0000267	F9C07_1677825	Afu4g01230	AN12342, AN3304	An02g08340, An03g00230, An05g01440, An13g01860, An16g01200, An16g06090, An18g00960
OG0000268	F9C07_1723127	Afu6g13970, Afu7g00270, Afu8g02380	AN11206, AN1786, AN6018, AN8140, AN8378, AN9230	An11g02480
OG0000269		Afu1g00960, Afu1g01030, Afu6g09380, Afu7g07070, Afu7g07080		An03g03060, An08g11260, An08g11510, An08g11520, An08g12210, An12g06430
OG0000270		Afu1g10390, Afu3g01720, Afu5g12720	AN0015, AN11934, AN3472, AN7272, AN7839, AN7879, AN8150	An08g02330
OG0000271		Afu2g13920	AN10066, AN10127, AN10329, AN2865, AN4079, AN4291, AN5956, AN8557, AN9416	An01g10550
OG0000272	F9C07_12929, F9C07_2224030, F9C07_2420	Afu3g12100, Afu5g14780, Afu6g03420	AN10506, AN5021	An02g07770, An18g01640
OG0000273	F9C07_12173, F9C07_2068823, F9C07_2199242, F9C07_2259280, F9C07_2278809, F9C07_2281346		AN2575	An01g11220, An07g02370, An15g07470
OG0000274	F9C07_1430, F9C07_2223394, F9C07_2286904	Afu7g04680	AN3949, AN7915, AN9329	An07g07630, An07g09760, An08g08240
OG0000275	F9C07_2135790, F9C07_2230171, F9C07_2286934	Afu2g17850, Afu3g14770		An01g06880, An04g06350, An08g03830, An11g08530, An12g01380
OG0000276	F9C07_11294, F9C07_12238, F9C07_1591341, F9C07_2230705, F9C07_2237644, F9C07_2287266, F9C07_2287591, F9C07_9595			An06g00740, An11g09420
OG0000277	F9C07_12256, F9C07_2078686, F9C07_6892		AN0530, AN1033, AN2033, AN3227, AN3382, AN7902	An09g01840
OG0000278	F9C07_1831685, F9C07_1917429, F9C07_2231124, F9C07_2280660, F9C07_2282222	Afu7g01090	AN1581, AN3359	An12g03460, An12g10130
OG0000279	F9C07_12311, F9C07_2232525, F9C07_2281748, F9C07_2287545		AN2198, AN3570, AN6484	An07g00630, An07g05690, An13g02600
OG0000280	F9C07_12321, F9C07_12816, F9C07_2204576	Afu2g08050, Afu8g02600	AN3249, AN5850, AN8896	An03g06710, An18g00290
OG0000281	F9C07_12382, F9C07_2280620, F9C07_7755		AN2578, AN6457, AN7823, AN7924, AN8395	An06g00720, An10g01000
OG0000282	F9C07_10943, F9C07_12406, F9C07_498	Afu5g09720, Afu6g03510	AN6658	An08g01910, An09g02560, An12g06090, An13g02480
OG0000283	F9C07_1737534, F9C07_2058245, F9C07_2075748, F9C07_8153	Afu6g00530	AN10300, AN8938	An05g02020, An07g00840, An09g01200
OG0000284	F9C07_2202719, F9C07_2236682, F9C07_2264089	Afu1g13270, Afu2g04300, Afu8g01280, Afu8g02590	AN0666, AN8897	An08g06340
OG0000285	F9C07_2110507, F9C07_2281168, F9C07_2285519	Afu2g07550, Afu4g14740	AN5815	An05g00100, An07g04870, An11g05010, An11g05110
OG0000286	F9C07_2208759, F9C07_2287142, F9C07_6893		AN0529, AN1032, AN2031, AN6789, AN7899	An03g01810, An09g01790
OG0000287	F9C07_1930349, F9C07_2278583, F9C07_8518, F9C07_8679	Afu5g10530	AN9134	An11g06320, An11g08700, An12g00950, An14g04200
OG0000288	F9C07_1034, F9C07_2075543, F9C07_2278511, F9C07_2287227, F9C07_9403	Afu1g16810, Afu7g06840	AN0991, AN6930	An01g10100
OG0000289	F9C07_12616, F9C07_12680, F9C07_1436748, F9C07_2276663, F9C07_2281740	Afu8g02300	AN8493, AN9014	An01g14530, An12g10140
OG0000290	F9C07_1065404, F9C07_1934425, F9C07_9619	Afu5g10150	AN2652	An01g14400, An08g09620, An08g10210, An17g00130, An19g00240
OG0000291	F9C07_1172162, F9C07_12706, F9C07_2220394, F9C07_2286178, F9C07_2952	Afu2g04510, Afu8g01940	AN1869, AN4181, AN6154	
OG0000292	F9C07_12707, F9C07_2133660, F9C07_2221440, F9C07_2280601, F9C07_2282741	Afu4g03590, Afu7g06830	AN7147	An07g03260, An13g03890
OG0000293	F9C07_12795, F9C07_8358	Afu1g10370	AN1243, AN5329	An01g00270, An08g02290, An09g03810, An12g02820, An13g02150
OG0000294	F9C07_2206056, F9C07_2227585, F9C07_2286200, F9C07_2286511, F9C07_2287620, F9C07_9338	Afu4g07467	AN3284	An04g01840, An12g05240
OG0000295	F9C07_1129, F9C07_13199, F9C07_2284976	Afu2g00320, Afu6g05140, Afu8g01070	AN3638, AN6506	An15g00150, An16g02930
OG0000296	F9C07_13171, F9C07_555, F9C07_5724	Afu2g10650, Afu3g03410	AN10764, AN5852, AN6235	An02g05840, An03g03550
OG0000297	F9C07_2059793, F9C07_2154568, F9C07_2244930, F9C07_2287615, F9C07_3799	Afu3g14180	AN1576, AN2679, AN3898	An09g04380
OG0000298	F9C07_1181128, F9C07_5214	Afu5g00100, Afu7g06523	AN9205, AN9209	An04g04070, An05g01030, An11g09200, An16g01380
OG0000299	F9C07_11053, F9C07_2280509, F9C07_2280664	Afu1g03570, Afu4g03660	AN4055, AN7142	An08g09850, An14g01550, An18g04140
OG0000300	F9C07_10184, F9C07_11402, F9C07_5308	Afu3g01440, Afu4g03340, Afu5g07620	AN3479, AN8495	An09g01120, An13g02880
OG0000301	F9C07_1181288, F9C07_1836, F9C07_2280576	Afu4g00910	AN10464, AN2039, AN3234	An07g00420, An11g05840, An17g00930
OG0000302	F9C07_2232399, F9C07_5355, F9C07_9456	Afu4g03420	AN4125, AN7059, AN9123, AN9338	An09g02230, An12g02100
OG0000303	F9C07_2063612, F9C07_2281412, F9C07_7597, F9C07_7671	Afu4g03595	AN11171, AN7148	An02g01320, An03g06340, An14g01685
OG0000304	F9C07_4460, F9C07_5629	Afu2g02030, Afu6g10040	AN3870, AN8982	An02g08980, An07g05900, An08g01300, An11g05340
OG0000305	F9C07_10918, F9C07_1508100, F9C07_2086801, F9C07_2177, F9C07_2427, F9C07_5763	Afu3g12010	AN8464	An02g07850, An07g00230
OG0000306	F9C07_10375, F9C07_11418, F9C07_5853		AN7329	An01g10900, An03g06640, An08g11130, An10g00920, An12g10350, An15g07090
OG0000307	F9C07_1383478, F9C07_2146490, F9C07_2204534, F9C07_3236, F9C07_8702	Afu2g07910	AN2465, AN8912	An05g00490, An12g09370
OG0000308	F9C07_13372, F9C07_7059	Afu6g03020	AN7063, AN8757, AN9282	An03g06480, An08g09190, An12g07380, An13g01810
OG0000309	F9C07_1352663, F9C07_1487311, F9C07_2054345, F9C07_2279205	Afu2g17430, Afu7g03850	AN4120, AN4268	An05g01450, An05g01810
OG0000310	F9C07_2227572, F9C07_2279237, F9C07_3295, F9C07_6324, F9C07_7634, F9C07_7763	Afu1g02290, Afu2g01405	AN3481	An01g05960
OG0000311	F9C07_1508741, F9C07_2279219	Afu1g02550, Afu2g14990	AN0316, AN10627, AN5082, AN7570	An01g05650, An15g03190
OG0000312	F9C07_1133494, F9C07_2258603, F9C07_2284173, F9C07_300, F9C07_3827	Afu5g06290	AN2282, AN8623	An12g10190, An17g01450
OG0000313	F9C07_10605, F9C07_2233295, F9C07_2249240	Afu1g00300, Afu8g01000		An01g08660, An04g03000, An04g06760, An13g03790, An18g00760
OG0000314	F9C07_1581024, F9C07_2251702, F9C07_9863	Afu2g01300		An02g00440, An03g05130, An04g10020, An11g03930, An14g03760, An15g02140
OG0000315	F9C07_2158967, F9C07_2283813	Afu1g00680, Afu8g06310	AN3318, AN9024, AN9241	An08g12250, An12g06690, An12g06720
OG0000316	F9C07_2159797, F9C07_9481	Afu2g17890, Afu5g01230	AN11208, AN2651, AN2669	An05g01070, An08g10260, An09g01680
OG0000317	F9C07_190, F9C07_2282850, F9C07_2286183, F9C07_4222	Afu3g13670, Afu7g04730	AN3763	An03g01240, An12g05510, An13g01250
OG0000318	F9C07_1067681, F9C07_2134869, F9C07_2284717, F9C07_2284750	Afu2g00780, Afu3g15300, Afu8g00140	AN11037, AN6412	An07g01940
OG0000319	F9C07_2279932, F9C07_397	Afu2g17800, Afu5g14720, Afu7g06590	AN3420, AN7872, AN9050	An09g04980, An12g02390
OG0000320	F9C07_2227380, F9C07_2278372	Afu2g05170	AN12486, AN1463, AN1579, AN5505, AN5538, AN8428, AN8429	
OG0000321	F9C07_2239946, F9C07_2277553	Afu4g01130, Afu6g12740	AN3712	An02g04580, An08g10740, An08g10990, An16g00320, An18g00470
OG0000322	F9C07_2227626	Afu1g03520, Afu6g09500	AN0251	An01g04620, An05g02130, An08g11540, An09g05210, An12g06650, An12g06970
OG0000323	F9C07_10935, F9C07_928	Afu1g01980, Afu5g02820, Afu6g00430, Afu6g03560	AN0362	An01g06280, An10g01040, An15g01880
OG0000324	F9C07_2140035, F9C07_8838, F9C07_9206	Afu6g07330, Afu8g00460	AN5055, AN5199, AN6641	An01g11340, An07g09120
OG0000325	F9C07_1159589, F9C07_1780, F9C07_2197912	Afu6g08790, Afu8g05840	AN1729, AN7919	An09g00430, An11g06180, An13g03870
OG0000326	F9C07_11242, F9C07_11864, F9C07_7505	Afu3g07050, Afu4g13670	AN5660, AN6927	An01g09460, An02g13710, An03g00250
OG0000327	F9C07_2230463, F9C07_2234994	Afu2g00900, Afu6g11560	AN0500, AN1557, AN8943	An01g11690, An03g01300, An05g02420
OG0000328	F9C07_2204630, F9C07_2216999, F9C07_2222385, F9C07_7560	Afu7g00600	AN11903	An02g01000, An04g00980, An07g01430, An16g06560
OG0000329	F9C07_2217114, F9C07_7663	Afu8g01960	AN2660, AN6764	An01g01120, An01g01140, An01g12050, An11g03480, An15g04120
OG0000330	F9C07_1678546, F9C07_2278406, F9C07_2284635, F9C07_9664	Afu1g17580, Afu3g15040	AN2576, AN9004	An09g01070, An18g01350
OG0000331	F9C07_7943, F9C07_8709	Afu3g00320, Afu3g00470, Afu6g12210	AN3613, AN9365	An01g00780, An01g14600, An14g07390
OG0000332	F9C07_2285187, F9C07_2285858, F9C07_3133	Afu1g16700, Afu6g06660	AN0194, AN0980	An01g10350, An06g00290, An07g04420
OG0000333	F9C07_9213			An01g15080, An07g09460, An08g11210, An09g02080, An09g04940, An11g05300, An16g07560, An17g00100, An18g00210
OG0000334	F9C07_9620	Afu3g02420, Afu3g06720, Afu4g01400, Afu5g14240	AN6760, AN8527	An07g09050, An08g09630, An09g01450
OG0000335	F9C07_2277199	Afu2g05700, Afu2g05710, Afu8g02050	AN11749, AN4092, AN7483	An02g13450, An02g14160, An05g02330
OG0000336	F9C07_2130793	Afu1g00100, Afu1g05170, Afu3g03320, Afu5g14630	AN2746	An01g00380, An01g04400, An11g07630, An11g08190
OG0000337	F9C07_2218225, F9C07_2285736, F9C07_7860	Afu1g16690, Afu3g14670	AN9000	An01g10360, An03g05950, An11g03530, An16g00130
OG0000338	F9C07_2285768	Afu4g02830, Afu8g02160	AN0740, AN3205, AN3573, AN9198	An01g00620, An14g02870, An17g00970
OG0000339			AN0520, AN10392, AN10402, AN11981, AN1329, AN1787, AN2574, AN3351, AN8964	An07g02360
OG0000340	F9C07_1580830, F9C07_1724528, F9C07_2286874, F9C07_8063	Afu2g18060, Afu6g03450	AN10974, AN11095	An03g02610
OG0000341	F9C07_10917, F9C07_12158, F9C07_2198376, F9C07_8727	Afu1g11010, Afu7g04980		An06g01980, An07g01830, An16g01650
OG0000342	F9C07_2286927, F9C07_2287719, F9C07_7155	Afu5g00370, Afu8g00800	AN2074, AN9174	An02g04440, An03g01590
OG0000343	F9C07_2075578, F9C07_2145670, F9C07_2233642, F9C07_2236464, F9C07_2285492, F9C07_2287381, F9C07_5225, F9C07_8698			An05g01610
OG0000344	F9C07_1067482, F9C07_2286996, F9C07_3226, F9C07_8377	Afu1g16760, Afu3g00765, Afu7g00380	AN0987	An07g00130
OG0000345	F9C07_12307, F9C07_1639, F9C07_1918367, F9C07_2282707, F9C07_74	Afu1g08990, Afu1g11330	AN4004	An08g00490
OG0000346	F9C07_12341, F9C07_8238	Afu1g11580	AN1138, AN5551, AN6454, AN6805	An02g07880, An08g03850
OG0000347	F9C07_11460, F9C07_12383, F9C07_2064139, F9C07_3438	Afu2g15480, Afu4g00690	AN7607	An12g07620, An15g05550
OG0000348	F9C07_1357060, F9C07_1923112, F9C07_2203457, F9C07_2280468, F9C07_2281326	Afu5g00430	AN6417	An03g05830, An07g05840
OG0000349	F9C07_1923444, F9C07_2149449, F9C07_2203790		AN4343	An01g07140, An01g11260, An03g01760, An08g07930, An14g01255
OG0000350	F9C07_12451, F9C07_2280418, F9C07_2281726, F9C07_2285029	Afu3g03950, Afu6g10930	AN0602	An08g11590, An15g02350
OG0000351	F9C07_10127, F9C07_11880, F9C07_2280345, F9C07_2287148, F9C07_2287234, F9C07_56	Afu3g00120	AN8026	An12g05610
OG0000352	F9C07_1171083, F9C07_2236720, F9C07_2286471	Afu3g07150	AN10011, AN1585, AN4820, AN7315	An13g01930
OG0000353	F9C07_12573, F9C07_2074262, F9C07_2278568, F9C07_2284358	Afu8g07200	AN11921	An09g03660, An15g07550, An16g05880
OG0000354	F9C07_11178, F9C07_2205826, F9C07_3420, F9C07_5468	Afu2g15660, Afu4g03690	AN7141	An14g01440, An15g05890
OG0000355	F9C07_12589, F9C07_2089300, F9C07_2247357	Afu5g10160, Afu6g11740	AN10204	An12g10580, An14g04530, An14g06920
OG0000356	F9C07_1933091, F9C07_2231688	Afu3g03570, Afu5g09970	AN10287, AN3782, AN9297	An14g05890, An18g01620
OG0000357	F9C07_12592, F9C07_2168412, F9C07_2276969	Afu1g10900, Afu5g09950	AN10293, AN1187	An08g03170, An14g05880
OG0000358	F9C07_1841, F9C07_2287248, F9C07_5067	Afu6g11650, Afu6g13210		An01g00960, An03g02180, An07g00400, An08g07630
OG0000359	F9C07_12598, F9C07_12704, F9C07_9429	Afu4g09920, Afu5g09910	AN1853, AN2343	An04g07120, An14g07060
OG0000360	F9C07_12618, F9C07_3475, F9C07_8693	Afu2g00120	AN12396, AN6882, AN9369	An12g05180, An15g02980
OG0000361	F9C07_1933987, F9C07_2106077, F9C07_2277407	Afu2g00100, Afu2g04262	AN1893, AN6884	An11g02150, An12g05200
OG0000362	F9C07_1485722, F9C07_2205416, F9C07_2247924, F9C07_2277872, F9C07_2278817	Afu1g11360	AN8583	An12g10610, An14g06930
OG0000363	F9C07_2287271		AN8114	An01g15200, An04g02780, An08g08140, An09g05350, An12g04630, An15g02110, An15g05280
OG0000364	F9C07_1175248, F9C07_2236864, F9C07_2282987	Afu3g00500, Afu4g03010, Afu8g01690	AN2488	An02g00510, An14g03080
OG0000365	F9C07_12673, F9C07_1489892, F9C07_2283504	Afu3g12700, Afu8g00670	AN3113	An02g08670, An03g02850, An06g00300
OG0000366	F9C07_2230753, F9C07_2276738, F9C07_2286727, F9C07_2287331, F9C07_9288	Afu7g06810	AN1808, AN2350	An08g10800
OG0000367	F9C07_12812, F9C07_9086	Afu1g17360, Afu5g12960, Afu6g12150	AN6849, AN8643	An12g10230, An14g06250
OG0000368	F9C07_2205980, F9C07_2284077, F9C07_2284785, F9C07_2286162, F9C07_9259	Afu8g02570	AN3248, AN8898	An03g06700
OG0000369	F9C07_2237094, F9C07_2282835, F9C07_2284552	Afu1g00410, Afu3g02000, Afu8g04130	AN1425	An16g01400, An16g08980
OG0000370	F9C07_1449975, F9C07_1951625, F9C07_8675	Afu3g01540, Afu4g14260, Afu6g10100	AN2591	An02g03190, An02g04590
OG0000371	F9C07_2105688, F9C07_2213892, F9C07_2279087, F9C07_2287562, F9C07_4991, F9C07_705			An04g02980, An12g07280, An13g01960
OG0000372	F9C07_1679118, F9C07_1781, F9C07_2217107, F9C07_2282935, F9C07_2287600	Afu7g00110	AN1799, AN6773	An07g00440
OG0000373	F9C07_13147, F9C07_1704, F9C07_2073309, F9C07_6043	Afu2g07720, Afu5g14260	AN5828, AN8420	An05g00300
OG0000374	F9C07_13113, F9C07_1638577, F9C07_2284228, F9C07_2284280, F9C07_5443	Afu4g00230, Afu5g01000	AN11188	An03g01460
OG0000375	F9C07_1183159, F9C07_13067, F9C07_1508021	Afu6g00190	AN1550, AN3244, AN5689, AN7077	An18g00740
OG0000376	F9C07_2203375, F9C07_2206264, F9C07_3721	Afu1g13110	AN0649, AN8944	An04g09730, An08g06100, An12g02430
OG0000377	F9C07_12934, F9C07_13034	Afu3g02460, Afu7g00740	AN10325, AN10937	An07g04020, An07g06500, An08g01350
OG0000378	F9C07_13027, F9C07_8886	Afu1g11230, Afu2g03700	AN1593, AN3817	An04g00610, An04g00620, An07g08280
OG0000379	F9C07_12901, F9C07_12926, F9C07_2279311, F9C07_39	Afu6g14330	AN3972, AN5652, AN8779	An06g00660
OG0000380	F9C07_1806, F9C07_2262196, F9C07_2280675, F9C07_6712	Afu2g00410, Afu7g06800, Afu8g01360	AN8653	An05g01860
OG0000381	F9C07_2062822, F9C07_2285082, F9C07_6613	Afu7g00420, Afu8g06100, Afu8g06590	AN8727	An02g09530, An03g00420
OG0000382	F9C07_2073110, F9C07_2201684, F9C07_3334, F9C07_5457, F9C07_7099	Afu8g02280	AN6129, AN9013	An12g10110
OG0000383	F9C07_10460, F9C07_2090070, F9C07_2172420, F9C07_5475, F9C07_8059	Afu8g00380	AN3611, AN7083	An14g01310
OG0000384	F9C07_1067655, F9C07_2087219, F9C07_2197619, F9C07_2281460, F9C07_5559	Afu1g16710	AN0981	An01g10340, An01g13910
OG0000385	F9C07_1599860, F9C07_2106935, F9C07_2280757	Afu3g10850, Afu5g00580, Afu5g02600	AN8003	An02g10100, An16g00500
OG0000386	F9C07_4401, F9C07_5599, F9C07_8333	Afu1g10590, Afu2g01840	AN1218, AN4653	An07g05280, An08g02590
OG0000387	F9C07_1855746, F9C07_2075595, F9C07_2277540	Afu2g18030	AN5918	An02g02750, An03g05660, An08g08920, An14g07200
OG0000388	F9C07_5878, F9C07_8211	Afu5g14600, Afu6g13950, Afu8g02390	AN8144, AN9257	An01g07680, An11g02490
OG0000389	F9C07_2229846, F9C07_2241870, F9C07_2280018	Afu1g17210	AN0553, AN4176	An12g05110, An15g01870, An19g00110
OG0000390	F9C07_13383, F9C07_1717278, F9C07_2230762, F9C07_2277364, F9C07_2283210, F9C07_2285459	Afu1g14460	AN0718	An14g06110
OG0000391	F9C07_2071965, F9C07_2281261, F9C07_2283427, F9C07_3595	Afu1g14170, Afu3g00380	AN0756	An01g12150, An14g05820
OG0000392	F9C07_10219, F9C07_1077, F9C07_2202461, F9C07_7078	Afu4g02750, Afu7g00780	AN11092	An10g00880, An11g08280
OG0000393	F9C07_2282944, F9C07_2284923	Afu6g04570, Afu8g00580	AN10038, AN1595, AN6563, AN7807	An15g00750
OG0000394	F9C07_2282967, F9C07_2286761	Afu1g17250, Afu5g09580, Afu8g07060	AN1837, AN8803	An04g08500, An07g03340
OG0000395	F9C07_2233479, F9C07_3312	Afu1g17240	AN6396	An02g12830, An11g00370, An11g08470, An16g06640, An19g00160
OG0000396	F9C07_3359, F9C07_7406	Afu2g12510, Afu2g16060	AN2145, AN6281	An02g04730, An13g01980, An15g06410
OG0000397	F9C07_1495961, F9C07_2067012	Afu2g15930, Afu6g10960	AN0599, AN2158, AN9288	An08g07960, An15g06250
OG0000398	F9C07_1210363, F9C07_2202582, F9C07_6507	Afu2g06170, Afu2g15370	AN7437, AN7591	An02g14810, An09g03630
OG0000399	F9C07_2135800, F9C07_3554, F9C07_471, F9C07_7653	Afu7g05930		An07g00470, An07g01970, An07g03400, An15g02290
OG0000400	F9C07_1514944, F9C07_2257897, F9C07_2286195, F9C07_2286319	Afu3g00210, Afu3g05760	AN3433	An05g02620, An11g10870
OG0000401	F9C07_2284266, F9C07_35, F9C07_3695	Afu1g13320	AN0672, AN6028	An03g00030, An08g06390, An12g05870
OG0000402	F9C07_2278554, F9C07_2283315, F9C07_9911	Afu6g08750	AN1733, AN6022	An02g02290, An07g05000, An11g06140
OG0000403	F9C07_2201393, F9C07_2283532	Afu3g01170, Afu5g13810, Afu7g01590	AN0681, AN11168	An04g04720, An12g01110
OG0000404	F9C07_4097, F9C07_593, F9C07_7683	Afu1g07140, Afu5g14350	AN10648, AN2684	An07g09690, An14g05780
OG0000405	F9C07_10701, F9C07_2171288	Afu3g07640, Afu5g03550	AN4859, AN8219	An02g12510, An09g05950, An16g05840
OG0000406	F9C07_1007324, F9C07_1580993, F9C07_6676	Afu1g10140	AN12276, AN12418	An08g04830, An11g03960, An16g08520
OG0000407	F9C07_1473, F9C07_2133875, F9C07_2283868	Afu3g08160, Afu5g02410	AN2932, AN8016	An02g10390, An02g11680
OG0000408	F9C07_2068533, F9C07_2201667, F9C07_2284543, F9C07_7863		AN10884, AN1623, AN1926	An05g02450, An15g07880
OG0000409	F9C07_1600520, F9C07_2279321, F9C07_2286181	Afu7g06680	AN8153	An11g03860, An11g03970, An11g07150, An14g01870
OG0000410	F9C07_10237, F9C07_1745991	Afu5g14730, Afu7g00700	AN10217, AN8733, AN9051	An12g02640, An15g04780
OG0000411	F9C07_1283313, F9C07_2160694	Afu2g10830, Afu3g01040, Afu8g05750	AN7376, AN8103	An02g02320, An02g07550
OG0000412	F9C07_1605136, F9C07_2278088	Afu4g00570, Afu4g11780	AN10062, AN5559	An09g03790, An13g03640, An16g00940
OG0000413	F9C07_10142, F9C07_10906, F9C07_11882, F9C07_1670, F9C07_2276624	Afu3g09170	AN2831, AN4826, AN5032	
OG0000414	F9C07_2218358, F9C07_2277218	Afu2g00450, Afu2g05910, Afu6g03980	AN2638, AN7459	An02g14380, An06g00380
OG0000415	F9C07_2151012, F9C07_48	Afu3g01600, Afu8g07020	AN10948, AN2593, AN8349	An09g04390, An16g08140
OG0000416	F9C07_1200148, F9C07_2261920, F9C07_2278560		AN10658, AN10669, AN8448	An12g01560, An14g06890, An16g05750
OG0000417	F9C07_112, F9C07_917	Afu1g02110, Afu4g01450, Afu7g04070	AN0354, AN5701	An01g06150, An13g00550
OG0000418	F9C07_2057644, F9C07_2278786, F9C07_6985	Afu6g06970, Afu7g05085	AN3992, AN5733, AN7089, AN8424	
OG0000419	F9C07_1015534, F9C07_1047584, F9C07_1379324, F9C07_2171613, F9C07_2284500	Afu5g09170		An01g14770, An07g03940, An08g09310
OG0000420	F9C07_1029349, F9C07_1328, F9C07_2286592, F9C07_9808	Afu3g09220	AN6835	An01g06820, An06g02530, An16g02820
OG0000421	F9C07_2258921, F9C07_2278957	Afu3g15250, Afu5g10340	AN11821, AN9219	An04g06250, An15g02190, An15g05060
OG0000422	F9C07_2466, F9C07_619	Afu8g05590, Afu8g06840	AN1548	An07g05440, An12g10900, An15g05250, An16g07090
OG0000423	F9C07_1048175, F9C07_11523, F9C07_1679764, F9C07_2281354, F9C07_7741	Afu2g14510	AN2391	An02g00660, An07g03040
OG0000424	F9C07_1053456, F9C07_4163	Afu1g02880	AN0272, AN3575, AN5288	An01g05030, An07g00260, An11g07000
OG0000425	F9C07_11906, F9C07_2279463, F9C07_6736	Afu1g15610	AN0895	An09g00080, An12g04390, An14g02890, An18g03210
OG0000426	F9C07_1235, F9C07_1460, F9C07_2286097	Afu1g10270	AN9179	An04g03570, An08g02180, An11g04700, An16g02360
OG0000427	F9C07_11297, F9C07_1268, F9C07_2281521, F9C07_6075	Afu6g05350	AN1573, AN6487	An13g02130, An18g01320
OG0000428	F9C07_1095009, F9C07_2282575, F9C07_5015	Afu2g13250	AN6231	An02g02170, An12g03230, An16g02500, An18g04630
OG0000429	F9C07_1369507, F9C07_2138971	Afu1g17320, Afu2g14150, Afu3g09140	AN3044, AN6352	An02g01400, An16g02730
OG0000430	F9C07_1506	Afu3g07960, Afu8g02210	AN2200, AN2960, AN4108, AN8579	An03g00660, An16g01950
OG0000431	F9C07_1520, F9C07_2284736	Afu2g00540, Afu2g03820, Afu4g02820	AN3805	An07g08390, An10g00820, An15g07720
OG0000432	F9C07_2140879, F9C07_4739	Afu4g02660, Afu4g09440, Afu6g03690	AN1628, AN6642	An09g00690, An15g01830
OG0000433	F9C07_2141354, F9C07_8202	Afu1g11890, Afu6g00300	AN10529, AN1102	An01g06870, An08g04100, An18g03820
OG0000434	F9C07_2102959	Afu1g00920, Afu3g06425	AN4657, AN7889	An01g11840, An05g02120, An07g04250, An12g06960
OG0000435	F9C07_11318, F9C07_11319		AN2194	An02g02850, An14g01380, An14g01530, An18g02620, An18g02630, An18g04970
OG0000436	F9C07_2280390, F9C07_9875	Afu6g08560	AN10486, AN1680, AN4827, AN6444	An01g14860, An11g05500
OG0000437	F9C07_2204698, F9C07_2276769, F9C07_4421, F9C07_7875, F9C07_7876	Afu6g09740	AN3963	An10g00070, An12g02850
OG0000438	F9C07_2064728, F9C07_2285760, F9C07_4452	Afu4g13850	AN4198, AN6453	An12g09440, An16g01980, An18g00100
OG0000439	F9C07_11948, F9C07_4628	Afu3g03600, Afu3g07260	AN0563, AN1320, AN4833	An02g13440, An08g07390
OG0000440	F9C07_1358552, F9C07_2284638, F9C07_4692, F9C07_7874, F9C07_8082	Afu3g15010	AN1597, AN2561	An09g01100
OG0000441	F9C07_11532, F9C07_4844	Afu4g08580, Afu5g15070, Afu8g07130	AN10223, AN3973	An04g03360, An11g07650
OG0000442	F9C07_2125917, F9C07_2282736, F9C07_4914, F9C07_7425	Afu4g08010, Afu7g08450, Afu8g06540	AN3846	An04g02420
OG0000443	F9C07_2282027, F9C07_8911	Afu2g01750, Afu4g06930, Afu8g00410	AN0369, AN4404	An01g11360, An04g01330
OG0000444	F9C07_11796, F9C07_1428495, F9C07_2988	Afu4g06890, Afu7g03740	AN1901, AN8283	An11g02230, An13g00090
